id_municipio,n_alunos,taxa_observada,taxa_prevista,sigla_uf,nome_regiao,rede,meta_alfabetizacao_2024,meta_alfabetizacao_2025,lag1_taxa_alfabetizacao,lag1_media_portugues,populacao,pib_per_capita,ivs,risco,gap_meta_2024,risco_nao_atingir_meta_2024,gap_meta_2025,risco_nao_atingir_meta_2025,rank_risco,cluster
3161601,4,0.75,0.7229821414755688,MG,Sudeste,municipal,70.95,72.62,69.23,761.9295,3258,16409.7605893186,0.268,0.27701785852443117,1.3482141475568739,False,-0.32178585244312785,True,967,2
4126603,34,0.7941176470588235,0.7232031331813265,PR,Sul,municipal,80.0,80.0,85.7,770.1472,23712,35894.10425101215,,0.27679686681867355,-7.679686681867352,True,-7.679686681867352,True,968,2
3112000,13,0.9230769230769231,0.7235852311599863,MG,Sudeste,municipal,80.0,80.0,88.88,786.264,14236,31096.65636414723,,0.2764147688400137,-7.641476884001364,True,-7.641476884001364,True,969,2
3519006,12,0.9166666666666666,0.7245820055221005,SP,Sudeste,municipal,80.0,80.0,85.15,786.7246,9302,59416.14706514728,0.255,0.2754179944778995,-7.5417994477899555,True,-7.5417994477899555,True,970,2
3148004,189,0.7513227513227513,0.7249428721357829,MG,Sudeste,estadual,70.88,72.56,70.81,765.8133,167870,48557.6279263716,0.189,0.2750571278642171,1.6142872135782937,False,-0.06571278642171308,True,971,1
5205802,14,0.5714285714285714,0.7256938085880927,GO,Centro-Oeste,municipal,73.34,74.54,72.1,747.8291,10714,31777.207392197124,0.295,0.27430619141190726,-0.7706191411907355,True,-1.9706191411907383,True,972,2
3205150,14,0.5714285714285714,0.7282584393710204,ES,Sudeste,municipal,75.41,76.22,74.58,760.3951,9298,22946.00989460099,,0.2717415606289796,-2.5841560628979607,True,-3.394156062897963,True,973,2
4122008,36,0.8611111111111112,0.7295228811167513,PR,Sul,municipal,80.0,80.0,89.62,772.3185,14214,70141.55058393134,,0.27047711888324866,-7.047711888324869,True,-7.047711888324869,True,974,2
3141405,21,0.6190476190476191,0.7296440511142411,MG,Sudeste,municipal,71.82,73.31,70.27,772.4671,20492,16138.737068124146,,0.27035594888575887,1.1444051114241205,False,-0.3455948885758886,True,975,2
4122800,9,1.0,0.7299996641851534,PR,Sul,municipal,80.0,80.0,89.42,776.4949,4097,35289.480107395655,0.355,0.2700003358148466,-7.000033581484658,True,-7.000033581484658,True,976,2
2604908,10,1.0,0.7309206522168472,PE,Nordeste,municipal,76.97,77.49,76.43,774.0696,16252,10084.297317253262,,0.2690793477831528,-3.8779347783152787,True,-4.397934778315275,True,977,2
3150604,8,0.625,0.7309587369383113,MG,Sudeste,municipal,69.08,71.11,66.97,755.8144,6884,36107.64090644974,0.214,0.26904126306168874,4.015873693831125,False,1.9858736938311239,False,978,1
3200300,14,0.9285714285714286,0.7315200525403373,ES,Sudeste,municipal,75.35,76.17,74.51,765.3925,14373,39336.60335351005,,0.26847994745966275,-2.1979947459662696,True,-3.017994745966277,True,979,2
2105708,74,0.7567567567567568,0.7320187951510985,MA,Nordeste,municipal,80.0,80.0,92.18,794.0983,45875,13540.010899182562,0.49,0.26798120484890153,-6.798120484890148,True,-6.798120484890148,True,980,2
5209937,12,0.8333333333333334,0.7320346523043116,GO,Centro-Oeste,municipal,76.77,77.33,76.2,758.8714,6061,61600.56096353737,,0.26796534769568836,-3.5665347695688325,True,-4.126534769568835,True,981,2
4106852,8,1.0,0.73304253533516,PR,Sul,municipal,80.0,80.0,95.74,774.6726,2896,65339.77900552486,,0.26695746466484005,-6.69574646648401,True,-6.69574646648401,True,982,2
4103800,17,0.8823529411764706,0.733091893262942,PR,Sul,municipal,80.0,80.0,86.17,777.1146,9899,35293.160925346,,0.266908106737058,-6.690810673705798,True,-6.690810673705798,True,983,2
4117453,7,0.7142857142857143,0.7331539444737728,PR,Sul,municipal,80.0,80.0,86.73,771.8569,7031,42260.987057317594,0.205,0.2668460555262272,-6.684605552622713,True,-6.684605552622713,True,984,2
